locationame,lat,lon,stationid,time,elev,hour_12,hour_24,hour_3,hour_6,min_10,now,rain,latest_2days,latest_3days,attribute,city,city_sn,town,town_sn
中興,23.7713,121.4905,C1T920,2023-05-01T04:50:00+08:00,68.00,0.00,4.50,-998.00,-998.00,-998.00,0.00,-998.00,5.50,44.00,局屬無人測站,花蓮縣,21,壽豐鄉,161
中興新村,23.9615,120.6782,81HA60,2023-05-01T04:50:00+08:00,120.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,南投縣,13,南投市,160
丹大,23.7556,121.1328,C1I050,2023-05-01T04:50:00+08:00,2568.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,信義鄉,175
丹路,22.2063,120.7430,C0R800,2023-05-01T04:50:00+08:00,131.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,獅子鄉,344
丹路國小,22.2051,120.7433,81R650,2023-05-01T04:50:00+08:00,119.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,屏東縣,20,獅子鄉,344
九份二山,23.9517,120.8462,81I520,2023-05-01T04:50:00+08:00,527.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,南投縣,13,國姓鄉,139
九份二山,23.9637,120.8369,C1I230,2023-05-01T04:50:00+08:00,837.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,國姓鄉,139
九如,22.7423,120.4825,C0R490,2023-05-01T04:50:00+08:00,49.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,九如鄉,302
九如里,25.0343,121.6034,A1AC60,2023-05-01T04:50:00+08:00,44.00,0.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,1.00,北市府大地工程處,臺北市,01,南港區,035
九宮碼頭,24.4274,118.2556,A0W100,2023-05-01T04:50:00+08:00,2.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,中央氣象局,金門縣,99,烈嶼鄉,999
九棚,22.1438,120.8863,C0R790,2023-05-01T04:50:00+08:00,111.00,4.00,4.00,-998.00,-998.00,-998.00,0.00,-998.00,4.00,4.50,局屬無人測站,屏東縣,20,牡丹鄉,347
九芎根,24.9042,121.6417,L1A810,2023-05-01T04:50:00+08:00,378.00,0.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,2.50,3.00,翡翠水庫,新北市,06,石碇區,040
二崙,23.7746,120.4008,C0K440,2023-05-01T04:50:00+08:00,35.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,二崙鄉,180
二林,23.9051,120.3679,C0G730,2023-05-01T04:50:00+08:00,27.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,彰化縣,14,二林鎮,155
二水,23.8128,120.6090,C0G880,2023-05-01T04:50:00+08:00,92.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,彰化縣,14,二水鄉,177
二萬坪,23.5114,120.7819,F1M710,2023-05-01T04:50:00+08:00,1998.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會林務局,嘉義縣,17,阿里山鄉,208
五分山,25.0730,121.7726,C0AH30,2023-05-01T04:50:00+08:00,755.00,0.50,7.00,-998.00,-998.00,-998.00,0.00,-998.00,12.00,15.00,局屬無人測站,新北市,06,瑞芳區,018
五城加油站,24.9417,121.4628,81AH80,2023-05-01T04:50:00+08:00,73.00,0.50,0.50,-998.00,-998.00,-998.00,0.00,-998.00,1.00,1.00,農委會水土保持局,新北市,06,新店區,050
五堵,25.0808,121.6884,01B030,2023-05-01T04:50:00+08:00,16.00,0.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,5.00,7.00,水利署第10河川局,基隆市,03,七堵區,012
五寮國小,24.8607,121.3518,81AI00,2023-05-01T04:50:00+08:00,172.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,新北市,06,三峽區,057
五峰,24.8318,121.7403,01U460,2023-05-01T04:50:00+08:00,83.00,0.00,4.00,-998.00,-998.00,-998.00,0.00,-998.00,5.00,5.00,水利署第1河川局,宜蘭縣,07,礁溪鄉,065
五峰國小,24.6333,121.1094,81D600,2023-05-01T04:50:00+08:00,446.00,0.50,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,農委會水土保持局,新竹縣,10,五峰鄉,089
五峰站,24.6140,121.1490,72D080,2023-05-01T04:50:00+08:00,1048.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,新竹縣,10,五峰鄉,089
五指山,25.1339,121.6003,C0A870,2023-05-01T04:50:00+08:00,685.00,0.00,3.50,-998.00,-998.00,-998.00,0.00,-998.00,8.00,9.50,局屬無人測站,新北市,06,汐止區,014
五結,24.6887,121.7902,C0U780,2023-05-01T04:50:00+08:00,15.00,0.00,4.00,-998.00,-998.00,-998.00,0.00,-998.00,5.50,11.00,局屬無人測站,宜蘭縣,07,五結鄉,082
五股,25.0762,121.4191,C0AI00,2023-05-01T04:50:00+08:00,188.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,新北市,06,五股區,017
人和國小,23.7807,120.8886,81H940,2023-05-01T04:50:00+08:00,460.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,南投縣,13,水里鄉,168
仁德,22.9701,120.2498,C0X160,2023-05-01T04:50:00+08:00,26.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,仁德區,279
仁愛,24.0239,121.1241,C0I390,2023-05-01T04:50:00+08:00,1184.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,仁愛鄉,122
仁武,22.7029,120.3397,C0V680,2023-05-01T04:50:00+08:00,40.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,仁武區,306
仙跡岩,24.9911,121.5350,A1AG70,2023-05-01T04:50:00+08:00,81.00,1.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,1.00,北市府大地工程處,臺北市,01,文山區,356
伯公龍,24.2742,120.8411,C1F9F1,2023-05-01T04:50:00+08:00,500.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,東勢區,113
伸港,24.1505,120.4762,C0G890,2023-05-01T04:50:00+08:00,24.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,彰化縣,14,伸港鄉,126
佳冬,22.4212,120.5442,C0R540,2023-05-01T04:50:00+08:00,17.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,佳冬鄉,341
佳心,23.3475,121.2051,C0Z050,2023-05-01T04:50:00+08:00,830.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬無人測站,花蓮縣,21,卓溪鄉,207
佳暮,22.7659,120.7112,81R670,2023-05-01T04:50:00+08:00,497.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,屏東縣,20,霧臺鄉,292
佳樂水,21.9954,120.8536,C0R680,2023-05-01T04:50:00+08:00,4.00,0.50,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,1.00,局屬無人測站,屏東縣,20,滿州鄉,348
佳義國小,22.6549,120.6229,81R640,2023-05-01T04:50:00+08:00,75.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,屏東縣,20,瑪家鄉,308
