locationame,lat,lon,stationid,time,elev,hour_12,hour_24,hour_3,hour_6,min_10,now,rain,latest_2days,latest_3days,attribute,city,city_sn,town,town_sn
國三N252K,23.7759,120.6325,CAJ010,2023-05-01T04:50:00+08:00,130.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,雲林縣,16,林內鄉,186
國三N279K,23.5979,120.5152,CAL050,2023-05-01T04:50:00+08:00,113.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,嘉義縣,17,大林鎮,202
國三N285K,23.5521,120.4977,C1M870,2023-05-01T04:50:00+08:00,121.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,嘉義縣,17,民雄鄉,213
國三N295K,23.4704,120.4913,CAL070,2023-05-01T04:50:00+08:00,99.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,嘉義市,09,東區,217
國三N303K,23.4304,120.4443,CAL080,2023-05-01T04:50:00+08:00,72.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,嘉義縣,17,中埔鄉,224
國三N336K,23.1565,120.3369,CAN080,2023-05-01T04:50:00+08:00,49.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺南市,04,官田區,248
國三N372K,22.8604,120.3655,CAP050,2023-05-01T04:50:00+08:00,64.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,高雄市,05,田寮區,284
國三N425K,22.4821,120.5236,CAQ010,2023-05-01T04:50:00+08:00,33.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,屏東縣,20,南州鄉,338
國三S004K,25.1162,121.6804,CAB030,2023-05-01T04:50:00+08:00,107.00,0.00,3.00,-998.00,-998.00,-998.00,0.00,-998.00,8.00,10.50,局屬合作測站,基隆市,03,七堵區,012
國三S007K,25.0987,121.6596,CAB040,2023-05-01T04:50:00+08:00,76.00,0.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,4.00,4.00,局屬合作測站,基隆市,03,七堵區,012
國三S010K,25.0818,121.6393,CAA030,2023-05-01T04:50:00+08:00,50.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,2.00,2.00,局屬合作測站,新北市,06,汐止區,014
國三S016K,25.0348,121.6076,CAA040,2023-05-01T04:50:00+08:00,71.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬合作測站,臺北市,01,南港區,035
國三S037K,24.9841,121.4628,CAA050,2023-05-01T04:50:00+08:00,51.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,新北市,06,土城區,049
國三S042K,24.9618,121.4224,CAA060,2023-05-01T04:50:00+08:00,50.00,1.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,1.00,局屬合作測站,新北市,06,土城區,049
國三S054K,24.9409,121.3157,CAA080,2023-05-01T04:50:00+08:00,97.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,新北市,06,鶯歌區,054
國三S103K,24.7604,120.9526,CAD090,2023-05-01T04:50:00+08:00,101.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,新竹市,15,東區,070
國三S140K,24.5241,120.7168,CAE080,2023-05-01T04:50:00+08:00,64.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,苗栗縣,11,通霄鎮,098
國三S156K,24.3997,120.6613,CAE090,2023-05-01T04:50:00+08:00,89.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,苗栗縣,11,苑裡鎮,102
國三S173K,24.2757,120.5849,CAF070,2023-05-01T04:50:00+08:00,181.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺中市,02,清水區,112
國三S202K,24.0942,120.5951,CAG060,2023-05-01T04:50:00+08:00,48.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,彰化縣,14,彰化市,142
國三S217K,24.0086,120.6451,CAH020,2023-05-01T04:50:00+08:00,93.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,南投縣,13,草屯鎮,152
國三S286K,23.5411,120.4878,CAL060,2023-05-01T04:50:00+08:00,93.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,嘉義縣,17,民雄鄉,213
國三S311K,23.3482,120.4308,CAN060,2023-05-01T04:50:00+08:00,66.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺南市,04,白河區,228
國三S329K,23.2145,120.3477,CAN070,2023-05-01T04:50:00+08:00,63.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺南市,04,官田區,248
國三S342K,23.1085,120.3195,CAN090,2023-05-01T04:50:00+08:00,41.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺南市,04,善化區,255
國三S366K,22.9095,120.3433,CAN100,2023-05-01T04:50:00+08:00,64.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺南市,04,關廟區,272
國三S383K,22.7837,120.4184,C1V830,2023-05-01T04:50:00+08:00,114.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,高雄市,05,燕巢區,296
國三S385K,22.7696,120.4364,CAP060,2023-05-01T04:50:00+08:00,93.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,高雄市,05,大樹區,300
國三S415K,22.5698,120.5200,CAQ020,2023-05-01T04:50:00+08:00,38.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,屏東縣,20,竹田鄉,322
國三甲005K,25.0037,121.5893,CAA090,2023-05-01T04:50:00+08:00,60.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺北市,01,文山區,356
國二E009K,25.0200,121.2655,CAC020,2023-05-01T04:50:00+08:00,109.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,桃園市,08,桃園區,042
國六W023K,23.9808,120.8596,C1I550,2023-05-01T04:50:00+08:00,373.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,南投縣,13,國姓鄉,139
國四E5K,24.2982,120.6350,CAF090,2023-05-01T04:50:00+08:00,130.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺中市,02,神岡區,114
國姓,24.0396,120.8469,C0I420,2023-05-01T04:50:00+08:00,305.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,國姓鄉,139
圓富國中,22.9283,120.5010,O1V820,2023-05-01T04:50:00+08:00,97.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第7河川局,高雄市,05,旗山區,283
土城,24.9749,121.4369,C0AD40,2023-05-01T04:50:00+08:00,32.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,新北市,06,土城區,049
土場,24.5784,121.4872,C0UA00,2023-05-01T04:50:00+08:00,392.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬無人測站,宜蘭縣,07,大同鄉,081
土場(1),24.5747,121.4883,01U050,2023-05-01T04:50:00+08:00,400.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,1.00,水利署第1河川局,宜蘭縣,07,大同鄉,081
土庫,23.6808,120.3874,C0K390,2023-05-01T04:50:00+08:00,31.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,土庫鎮,189
土阪,22.4549,120.8795,C0SA80,2023-05-01T04:50:00+08:00,136.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬無人測站,臺東縣,22,達仁鄉,337
坪廓分校,24.1584,120.7485,81F890,2023-05-01T04:50:00+08:00,226.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,臺中市,02,太平區,130
坪林,24.9386,121.7056,L1A830,2023-05-01T04:50:00+08:00,210.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,2.00,2.00,翡翠水庫,新北市,06,坪林區,053
坪林,24.9400,121.7015,C0A530,2023-05-01T04:50:00+08:00,300.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,1.00,1.00,局屬無人測站,新北市,06,坪林區,053
坪林(4),24.9382,121.7021,01A450,2023-05-01T04:50:00+08:00,200.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,1.00,水利署第10河川局,新北市,06,坪林區,053
坪林交控,24.9446,121.6386,C1A760,2023-05-01T04:50:00+08:00,217.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,1.50,1.50,局屬無人測站,新北市,06,坪林區,053
坪林石牌,24.8666,121.7658,C0U980,2023-05-01T04:50:00+08:00,573.00,0.50,3.50,-998.00,-998.00,-998.00,0.00,-998.00,5.00,8.50,局屬無人測站,宜蘭縣,07,頭城鎮,051
坪頂,23.7556,120.6309,81K580,2023-05-01T04:50:00+08:00,305.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,雲林縣,16,林內鄉,186
城西,23.0586,120.0875,C0N020,2023-05-01T04:50:00+08:00,27.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,安南區,265
埔中,23.8225,120.6347,C1I280,2023-05-01T04:50:00+08:00,439.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,名間鄉,173
埔心,23.9487,120.5176,C0G810,2023-05-01T04:50:00+08:00,26.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,彰化縣,14,埔心鄉,158
埔里,23.9739,120.9443,C0H890,2023-05-01T04:50:00+08:00,440.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,-999.00,局屬無人測站,南投縣,13,埔里鎮,147
埔鹽,24.0022,120.4236,C0G800,2023-05-01T04:50:00+08:00,15.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,彰化縣,14,埔鹽鄉,151
埤腹,24.9882,121.5371,A1AB10,2023-05-01T04:50:00+08:00,42.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府水利處,臺北市,01,文山區,356
埤頭,23.8678,120.4447,C0G830,2023-05-01T04:50:00+08:00,27.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,彰化縣,14,埤頭鄉,165
基隆,25.1351,121.7323,466940,2023-05-01T04:50:00+08:00,26.70,0.00,2.50,-998.00,-998.00,-998.00,0.00,-998.00,9.50,13.00,中央氣象局,基隆市,03,仁愛區,015
基隆嶼,25.1932,121.7757,C0B020,2023-05-01T04:50:00+08:00,86.00,0.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,2.50,2.50,局屬無人測站,基隆市,03,中正區,010
塭仔,22.4187,120.5116,C0R920,2023-05-01T04:50:00+08:00,19.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,佳冬鄉,341
墾丁,21.9686,120.8023,C0R690,2023-05-01T04:50:00+08:00,248.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,恆春鎮,350
墾雷,21.9027,120.8472,C0R620,2023-05-01T04:50:00+08:00,34.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,1.50,局屬無人測站,屏東縣,20,恆春鎮,350
士文,22.3701,120.6556,01R040,2023-05-01T04:50:00+08:00,410.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第7河川局,屏東縣,20,春日鄉,343
壯圍,24.7377,121.8080,C0UB20,2023-05-01T04:50:00+08:00,30.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,1.00,33.50,局屬無人測站,宜蘭縣,07,壯圍鄉,072
壽卡,22.2406,120.8509,C1S880,2023-05-01T04:50:00+08:00,474.00,6.50,6.50,-998.00,-998.00,-998.00,0.00,-998.00,6.50,6.50,局屬無人測站,臺東縣,22,達仁鄉,337
壽卡,22.2469,120.8276,01R000,2023-05-01T04:50:00+08:00,420.00,5.00,6.00,-998.00,-998.00,-998.00,0.00,-998.00,6.00,6.00,水利署第7河川局,屏東縣,20,獅子鄉,344
壽豐,23.8727,121.4999,C1Z120,2023-05-01T04:50:00+08:00,62.00,0.00,5.50,-998.00,-998.00,-998.00,0.00,-998.00,6.50,7.00,局屬無人測站,花蓮縣,21,壽豐鄉,161
外來吉,23.5314,120.7318,O1M650,2023-05-01T04:50:00+08:00,850.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第4河川局,嘉義縣,16,阿里山鄉,355
外坪五指,24.6462,121.0829,C1D640,2023-05-01T04:50:00+08:00,718.00,0.50,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬無人測站,新竹縣,10,北埔鄉,080
外埔,24.3496,120.6975,C0F9Q0,2023-05-01T04:50:00+08:00,149.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,外埔區,110
外大坪,23.9606,120.9097,C1I240,2023-05-01T04:50:00+08:00,725.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,埔里鎮,147
外湖,24.9195,120.9605,C0D690,2023-05-01T04:50:00+08:00,20.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,新竹縣,10,新豐鄉,058
多加屯,24.3704,121.3650,C0UA20,2023-05-01T04:50:00+08:00,2619.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,宜蘭縣,07,大同鄉,081
多納(1),22.9120,120.7080,O1V550,2023-05-01T04:50:00+08:00,454.30,1.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,1.00,水利署第7河川局,高雄市,05,茂林區,278
多納林道,22.8898,120.7299,C1V780,2023-05-01T04:50:00+08:00,1050.00,1.50,1.50,-998.00,-998.00,-998.00,0.00,-998.00,1.50,1.50,局屬無人測站,高雄市,05,茂林區,278
多良,22.5150,120.9466,81S860,2023-05-01T04:50:00+08:00,188.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,臺東縣,22,太麻里鄉,312
大內,23.1206,120.3528,C0O860,2023-05-01T04:50:00+08:00,38.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,大內區,252
大坑,23.8824,121.5738,C0T9E0,2023-05-01T04:50:00+08:00,415.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,1.00,21.00,局屬無人測站,花蓮縣,21,壽豐鄉,161
大坑,24.1749,120.7141,C0F970,2023-05-01T04:50:00+08:00,145.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,北屯區,124
大坪,25.1677,121.6248,C0A860,2023-05-01T04:50:00+08:00,362.00,0.00,6.50,-998.00,-998.00,-998.00,0.00,-998.00,15.00,20.00,局屬無人測站,新北市,06,萬里區,005
大坪頂,22.0264,120.6855,C0R730,2023-05-01T04:50:00+08:00,163.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,恆春鎮,350
大坪頂,24.4272,120.7196,01E330,2023-05-01T04:50:00+08:00,190.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第2河川局,苗栗縣,11,通霄鎮,098
大城,23.8542,120.3128,C0G740,2023-05-01T04:50:00+08:00,24.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,彰化縣,14,大城鄉,169
大埔,23.6321,120.6073,01J960,2023-05-01T04:50:00+08:00,205.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第5河川局,雲林縣,16,古坑鄉,196
大埔,24.7112,120.8900,01E120,2023-05-01T04:50:00+08:00,42.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第2河川局,苗栗縣,11,竹南鎮,079
大埤,23.6478,120.4234,C0K450,2023-05-01T04:50:00+08:00,35.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,大埤鄉,199
大安,24.3474,120.5800,C0F9K0,2023-05-01T04:50:00+08:00,30.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,大安區,107
大安森林,25.0313,121.5281,CAAH60,2023-05-01T04:50:00+08:00,18.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺北市,01,大安區,039
大寮,22.6074,120.3877,C0V730,2023-05-01T04:50:00+08:00,33.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,大寮區,320
大尖山,23.8603,120.9867,C1I500,2023-05-01T04:50:00+08:00,2017.00,2.00,4.00,-998.00,-998.00,-998.00,0.00,-998.00,4.00,4.00,局屬無人測站,南投縣,13,仁愛鄉,122
大屯國小,25.1568,121.4957,A1A9T0,2023-05-01T04:50:00+08:00,318.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府水利處,臺北市,01,北投區,006
大屯山,25.1773,121.5142,C0AC40,2023-05-01T04:50:00+08:00,1079.00,0.50,1.50,-998.00,-998.00,-998.00,0.00,-998.00,2.00,2.50,局屬無人測站,臺北市,01,北投區,006
大庄合作社,23.8086,120.3598,V2K610,2023-05-01T04:50:00+08:00,23.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,雲林縣,16,二崙鄉,180
大林,23.6024,120.4503,C0M670,2023-05-01T04:50:00+08:00,43.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,嘉義縣,17,大林鎮,202
大桶山,24.8780,121.5548,01A440,2023-05-01T04:50:00+08:00,916.00,0.00,2.00,-998.00,-998.00,-998.00,0.00,-998.00,3.00,3.00,水利署第10河川局,新北市,06,烏來區,061
大棟山,23.3133,120.5142,C1O870,2023-05-01T04:50:00+08:00,1249.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,白河區,228
大武,22.3574,120.8957,467540,2023-05-01T04:50:00+08:00,8.10,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,中央氣象局,臺東縣,22,大武鄉,342
大武崙,25.1685,121.6988,C0B040,2023-05-01T04:50:00+08:00,15.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,3.50,4.50,局屬無人測站,基隆市,03,安樂區,008
大河,24.6198,120.9406,C0E850,2023-05-01T04:50:00+08:00,104.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,苗栗縣,11,三灣鄉,088
大津,22.8900,120.6381,C1V340,2023-05-01T04:50:00+08:00,190.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,六龜區,259
大湖,24.4167,120.8627,C0E520,2023-05-01T04:50:00+08:00,320.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,4.00,4.00,局屬無人測站,苗栗縣,11,大湖鄉,103
大湖(1),24.4254,120.8617,01E270,2023-05-01T04:50:00+08:00,275.00,0.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,4.00,4.00,水利署第2河川局,苗栗縣,11,大湖鄉,103
大湖分場,24.4246,120.8637,K2E710,2023-05-01T04:50:00+08:00,286.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,4.50,4.50,局屬合作測站,苗栗縣,11,大湖鄉,103
大湖山,23.4769,120.6121,01L390,2023-05-01T04:50:00+08:00,725.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第5河川局,嘉義縣,17,番路鄉,220
大湖里,25.0982,121.5959,A1AG20,2023-05-01T04:50:00+08:00,181.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府大地工程處,臺北市,01,內湖區,021
大溪,24.8847,121.2569,C0C630,2023-05-01T04:50:00+08:00,209.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,桃園市,08,大溪區,060
大溪國小,24.9374,121.8788,81U900,2023-05-01T04:50:00+08:00,12.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,1.50,5.00,農委會水土保持局,宜蘭縣,07,頭城鎮,051
大溪山,22.4800,120.9353,C0S770,2023-05-01T04:50:00+08:00,375.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺東縣,22,太麻里鄉,312
大溪永福,24.8947,121.3168,C0C710,2023-05-01T04:50:00+08:00,143.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,桃園市,08,大溪區,060
大溪漁港,24.9436,121.8947,C0UA80,2023-05-01T04:50:00+08:00,10.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.50,1.50,局屬無人測站,宜蘭縣,07,頭城鎮,051
大漢山,22.4059,120.7451,C0R440,2023-05-01T04:50:00+08:00,1654.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.50,局屬無人測站,屏東縣,20,春日鄉,343
大漢山,22.4211,120.6750,01R030,2023-05-01T04:50:00+08:00,1080.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第7河川局,屏東縣,20,春日鄉,343
大潭,24.6370,120.8126,01E390,2023-05-01T04:50:00+08:00,30.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第2河川局,苗栗縣,11,造橋鄉,090
大濁水,24.3312,121.7314,01U230,2023-05-01T04:50:00+08:00,48.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,13.00,水利署第1河川局,宜蘭縣,07,南澳鄉,093
大甲,24.3499,120.6324,C0F930,2023-05-01T04:50:00+08:00,100.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,大甲區,105
大礁溪,24.7928,121.6668,C0U870,2023-05-01T04:50:00+08:00,474.00,1.00,9.00,-998.00,-998.00,-998.00,0.00,-998.00,13.50,15.50,局屬無人測站,宜蘭縣,07,礁溪鄉,065
大社,22.7319,120.3386,C0V770,2023-05-01T04:50:00+08:00,26.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,大社區,304
大福,24.8024,121.8057,C0U970,2023-05-01T04:50:00+08:00,7.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.50,1.00,局屬無人測站,宜蘭縣,07,壯圍鄉,051
大禹嶺,24.1879,121.3078,C0T790,2023-05-01T04:50:00+08:00,2830.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,花蓮縣,21,秀林鄉,108
大竹坑,23.1435,120.5689,O1N1A0,2023-05-01T04:50:00+08:00,212.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第6河川局,臺南市,04,南化區,244
大粗坑,25.0931,121.8307,81AI30,2023-05-01T04:50:00+08:00,84.00,0.50,3.00,-998.00,-998.00,-998.00,0.00,-998.00,5.50,5.50,農委會水土保持局,新北市,06,瑞芳區,018
大肚,24.1547,120.5640,C0F000,2023-05-01T04:50:00+08:00,273.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,大肚區,127
大興,23.6337,121.3897,88T920,2023-05-01T04:50:00+08:00,128.00,0.50,3.00,-998.00,-998.00,-998.00,0.00,-998.00,3.50,14.00,農委會水土保持局,花蓮縣,21,光復鄉,194
大艽芎古道,24.8268,121.2804,81C700,2023-05-01T04:50:00+08:00,267.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,桃園市,08,大溪區,060
大觀,23.7161,121.3650,C1T940,2023-05-01T04:50:00+08:00,539.00,1.50,3.00,0.00,0.50,0.00,0.00,0.00,6.00,20.00,局屬無人測站,花蓮縣,21,萬榮鄉,166
大觀發電廠,23.8563,120.8614,81H900,2023-05-01T04:50:00+08:00,440.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,南投縣,13,水里鄉,168
大豹,24.8891,121.4132,01A210,2023-05-01T04:50:00+08:00,600.00,1.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,1.00,水利署第10河川局,新北市,06,三峽區,057
大農,23.6170,121.4052,C1T970,2023-05-01T04:50:00+08:00,183.00,1.00,5.50,-998.00,-998.00,-998.00,0.00,-998.00,6.00,20.00,局屬無人測站,花蓮縣,21,光復鄉,194
大里,24.0944,120.6922,C0F9N0,2023-05-01T04:50:00+08:00,75.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,大里區,141
大里國小,24.9721,121.9179,81U890,2023-05-01T04:50:00+08:00,24.00,0.00,5.50,-998.00,-998.00,-998.00,0.00,-998.00,10.00,18.50,農委會水土保持局,宜蘭縣,07,頭城鎮,051
大雅,24.2171,120.6162,C0F9X0,2023-05-01T04:50:00+08:00,166.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,大雅區,121
大鳥,22.3848,120.9022,88S950,2023-05-01T04:50:00+08:00,25.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,臺東縣,22,大武鄉,342
天母,25.1193,121.5289,C0A9C0,2023-05-01T04:50:00+08:00,35.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺北市,01,士林區,007
天池,23.2794,120.9088,01V070,2023-05-01T04:50:00+08:00,2230.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第7河川局,高雄市,05,桃源區,353
天祥,24.1814,121.4875,C0T820,2023-05-01T04:50:00+08:00,550.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,花蓮縣,21,秀林鄉,108
